rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Three Bedroom Grand Suite with Sea or Marina View non-smoking,suite,grand,private bathroom,,,not club,3 bedrooms,no balcony,harbour view,
Sea Front View Room with Balcony - Twin Bed Half Board,room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,sea front,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
dry bridge suite (1 Double or 1 Twin),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Apartments dbl Double bed,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Annex Standard Swim-up Room (2 Twin Beds and 1 Twin Sofa Bed),room,standard,private bathroom,,double,not club,,no balcony,,
Apartment 2 Bedrooms - Burj Khalifa View Half Board,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,burj-khalifa view,
"1 Queen Bed, Non-Smoking, Superior Room, Work Desk (1 Double)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Premium King room with Marina View Marina,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,harbour view,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Suite FAMILY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
Deluxe City View Room Double Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Double room Family Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Sea View Suite with Balcony Executive Sea View Suite with Balcony,suite,executive,private bathroom,,,not club,,balcony,sea view,
Bunk Pod - Shared Bath Bunk Pod - Shared Bath,capsule,standard,shared bathroom,,,not club,,no balcony,,
Standard triple room (attic) double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Twin/Double room All Inclusive,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Grand Deluxe TWO Double Beds Grand Deluxe Room, 2 Double Beds",room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
