rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"Double Room, Sea View (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Sea Frontage Room with Balcony - King Bed Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,sea front,
Standard Double or Twin Room in Building (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Studio, 1 King Bed, Non Smoking",studio,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite With 2 Single Beds 2 adults & 1 child Breakfast,suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Suite Deluxe Partial Bosphorus Suite-,suite,deluxe,private bathroom,,,not club,,no balcony,,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Premium Quad,room,premium,private bathroom,,quadruple,not club,,no balcony,,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Vilòn Charming Garden,villa,,private bathroom,,,not club,,no balcony,,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Ocean View Pool Villa,villa,,private bathroom,,,not club,,no balcony,ocean view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Guest room, 2 Single, City view",room,standard,private bathroom,,double,not club,,no balcony,city view,
JUMEIRAH SEA VIEW SUITE WITH BEACH VW KING BED FLOORS 1 4 TWO PRIVATED FURNISHED Room Only,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Executive Kings,room,executive,private bathroom,,,not club,,no balcony,,
Palm Manora House,room,standard,private bathroom,,,not club,,no balcony,,
"Superior Room, Garden Area(2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Standard Room Multiple Beds,room,standard,private bathroom,,,not club,,no balcony,,
"Traditional Room, 1 King Bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tapa Collection Resort View King Room Acc Roll in show TAPA COLLECTION RESORT VW 1KG MOB ACC RI SHWR (1 Single),room,standard,private bathroom,double/double-or-twin,single,not club,,no balcony,with view,
Deluxe Deluxe Lagoon View Room 1 KB or 2 DB Lagoon,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Economy room with 2 twin beds (without window) twin,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
"Club Suite, Club level, 1 Bedroom Suite, 1 King, High floor Club Suite, Club level, 1 Bedroom Suite, 1 King, High floor",suite,,private bathroom,double/double-or-twin,double,club,1 bedroom,no balcony,,
Grand Premium Ground Floor Garden Access,room,premium,private bathroom,,,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Superior Superior Room with One Queen Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
PREMIUM QUAD ROOM (PAY AT THE DOOR),room,premier,private bathroom,,quadruple,not club,,no balcony,,
Phang Nga Pool Room,room,standard,private bathroom,,,not club,,no balcony,,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Deluxe DELUXE THAI VILLAGE DOUBLE OR TWIN,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Executive Double,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite - Jacuzzi - Sea view Suite - Jacobzashipayment,suite,,private bathroom,,,not club,,no balcony,sea view,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Villa OCEAN POOL VILLA,villa,,private bathroom,,,not club,,no balcony,,
Deluxe City View Room Queen Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Standard Queen Room non-smoking,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Deluxe Double Room with Balcony and Hotel Private Beach Access, 2 Twin Beds",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Executive King Room Non Smoking non-smiling,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Two Bedroom Suite Two Bedroom Suite Breakfast Included (1 King 1 Twin),suite,,private bathroom,multiple,,not club,2 bedrooms,no balcony,,
Room CLUB SEA VIEW Breakfast,room,standard,private bathroom,,,not club,,no balcony,sea view,
Suite With 2 Single Beds 2 adults & 1 child Breakfast,suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
STANDARD QUAD ROOM Room Only,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Double room - Executive - Acropolis View Breakfast,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Deluxe Deluxe Lagoon View Room 1 KB or 2 DB Lounge Access,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Premier Quadruple Room (2 Double Beds),room,premier,private bathroom,,quadruple,not club,,no balcony,,
Triple Studio Land View (3 Twin Beds),studio,,private bathroom,,triple,not club,,no balcony,land view,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
